peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
84.97,1.7,V,29,0,11,2,19,7,0,N,0,0,0
86.73,1.67,V,23,0,0,1,1,7,0,N,3,4,4
78.26,1.66,M,43,0,3,5,10,12,0,N,1,2,2
89.62,1.74,V,37,0,0,0,0,2,0,N,1,2,1
65.83,1.55,M,46,0,2,0,0,0,0,N,1,2,3
96.47,1.75,V,33,0,0,0,6,8,0,N,1,0,0
90.75,1.7,M,79,0,8,1,0,0,1,N,0,0,0
49,1.65,M,28,70,0,0,15,0,0,N,0,0,0
52.6,1.7,V,18,10,0,2,6,0,0,S,2,2,0
47.44,1.61,M,60,10,0,2,0,0,0,N,1,1,1
90.17,1.7,M,49,0,0,0,0,2,0,N,3,3,3
82.36,1.63,M,27,0,13,0,0,0,0,N,3,2,3
49,1.65,M,48,30,5,0,9,2,0,N,0,1,2
92.34,1.74,V,28,0,9,0,0,6,0,N,2,3,3
91.88,1.75,V,49,0,0,0,0,0,0,N,1,2,1
76.83,1.69,M,42,0,0,1,1,1,0,N,1,3,4
55.12,1.75,V,47,50,9,7,1,0,0,N,1,2,1
66.1,1.8,V,56,10,0,1,0,5,0,S,1,2,2
69.28,1.62,M,41,0,0,0,0,0,0,N,1,2,4
80.88,1.67,M,50,0,0,0,8,9,0,N,2,3,3
89.75,1.8,V,28,0,3,0,0,0,0,N,1,3,3
77.52,1.73,M,27,0,0,0,0,1,0,N,1,2,3
90.82,1.69,V,37,0,10,0,8,7,0,N,2,4,4
53.87,1.73,V,27,120,0,6,0,0,0,N,2,3,4
79.88,1.72,V,33,0,0,2,0,1,6,N,1,1,2
79.36,1.66,M,28,0,20,8,4,0,0,N,3,4,4
52.63,1.71,V,28,130,0,4,0,1,0,S,3,4,3
79.83,1.71,M,23,0,0,7,4,5,0,N,2,3,1
78.27,1.64,M,40,0,6,0,0,0,1,N,2,2,3
96.32,1.78,V,57,0,6,2,4,0,1,N,2,4,4
89.42,1.8,V,44,0,0,4,0,2,0,N,1,3,2
90.03,1.68,M,58,0,8,0,7,7,0,N,1,3,2
90.76,1.76,V,46,0,0,4,7,3,0,N,1,0,0
70.15,1.58,M,37,0,1,0,11,4,0,N,2,2,3
88.08,1.78,V,33,0,0,1,26,19,0,N,0,2,3
81.78,1.76,V,19,0,0,3,0,0,0,N,1,3,3
99.47,1.8,V,29,0,19,0,0,9,0,N,1,3,3
94.16,1.71,V,86,0,3,0,7,7,0,N,1,0,0
60.71,1.76,V,75,10,0,0,0,0,0,N,1,2,1
96.39,1.82,V,51,0,7,1,9,1,0,N,0,1,0
72.42,1.65,M,40,0,0,2,1,0,0,N,0,1,2
92.78,1.73,M,40,0,15,5,0,0,0,N,3,2,0
73.36,1.61,M,18,0,10,5,6,6,0,N,3,4,4
75.26,1.6,M,41,0,6,0,0,2,0,N,0,1,0
78.1,1.72,V,44,0,0,3,14,7,4,N,0,1,2
90.03,1.68,M,21,0,6,3,0,8,0,N,1,2,3
53.87,1.73,V,21,170,0,0,16,11,0,S,0,1,3
49,1.65,M,50,160,0,0,0,0,0,N,2,4,4
59.62,1.82,V,21,150,0,0,0,5,1,N,3,4,2
73.6,1.63,M,18,0,11,5,0,2,0,N,0,2,3
72.96,1.57,M,31,0,0,0,0,2,0,N,3,4,4
81.29,1.71,M,18,0,7,2,4,4,0,N,0,0,0
86.61,1.62,M,38,0,0,0,0,6,1,N,2,2,2
47.24,1.62,M,34,50,0,5,13,0,0,N,2,4,2
87.15,1.63,M,72,0,4,0,10,11,0,N,1,2,3
83.86,1.74,V,23,0,0,0,4,4,0,N,0,0,0
56.39,1.77,V,56,90,8,0,11,3,0,N,1,0,0
57.03,1.78,V,38,60,3,0,19,14,0,N,1,2,3
74.71,1.56,M,50,0,0,0,12,12,0,N,2,2,4
79.03,1.68,M,23,0,0,1,0,0,0,N,1,2,2
74.53,1.62,M,48,0,0,1,11,2,0,N,3,4,4
86.39,1.72,V,34,0,0,8,0,5,0,N,1,0,0
85.3,1.73,V,57,0,0,0,23,7,0,N,3,4,4
48.41,1.64,M,22,10,0,1,6,0,0,N,1,3,4
92.4,1.71,V,33,0,0,0,3,14,0,N,0,1,1
80.41,1.71,M,31,0,0,0,16,5,0,N,1,2,1
82.54,1.69,V,38,0,0,1,16,14,0,N,0,0,0
86.39,1.72,V,46,0,4,0,19,7,0,N,0,1,1
49.6,1.66,M,36,20,0,2,6,10,NA,N,2,0,0
47.24,1.62,M,51,120,0,0,0,2,0,S,2,3,3
87.16,1.8,V,46,0,0,0,10,10,7,N,1,2,3
75.5,1.77,V,52,0,7,3,10,4,9,N,2,4,4
69.02,1.59,M,71,0,0,0,15,0,0,N,0,2,2
46.08,1.6,M,40,20,3,0,14,13,0,N,0,0,0
56.39,1.77,V,41,130,0,6,10,5,0,N,2,2,3
53.25,1.72,V,44,120,15,0,6,7,4,N,0,0,0
77.78,1.71,V,45,0,20,2,12,0,0,N,0,2,2
68.61,1.66,M,18,0,0,0,0,0,3,N,2,2,4
85.9,1.67,M,23,0,11,3,22,16,0,N,2,2,1
49.6,1.66,M,23,10,9,3,11,0,0,N,0,2,4
82.05,1.74,V,18,0,2,3,0,3,0,N,1,2,3
54.5,1.74,M,56,100,1,0,3,0,2,N,1,3,1
100.93,1.79,V,43,0,14,0,21,14,0,N,2,3,3
78.27,1.64,M,44,0,0,0,0,1,0,N,1,3,4
57.03,1.78,V,18,80,0,3,0,0,0,N,0,0,2
65.55,1.53,M,43,0,0,0,8,0,0,N,0,2,1
46.66,1.61,M,38,30,0,5,4,4,0,N,3,4,3
75.64,1.58,M,62,0,8,0,0,0,0,N,0,0,3
72.56,1.59,M,38,0,4,1,10,1,0,N,2,3,2
87.76,1.78,V,43,0,19,0,26,12,7,N,1,2,2
44.94,1.58,M,63,30,4,7,0,4,0,N,0,2,1
43.8,1.56,M,54,20,13,2,14,12,1,N,2,3,1
82.05,1.74,V,18,0,0,8,0,0,0,N,2,4,4
67.4,1.58,M,18,0,0,0,5,3,0,N,2,4,4
74.86,1.71,V,67,0,0,2,9,2,0,N,2,3,4
73.69,1.69,M,42,0,0,0,1,0,0,N,1,3,3
47.82,1.63,M,59,30,7,3,12,7,0,N,0,1,1
100.57,1.77,V,68,0,22,1,10,6,0,N,2,3,4
66.55,1.57,M,18,0,5,0,0,0,0,N,0,2,3
77.62,1.68,V,65,0,0,2,0,0,0,N,0,0,1
90.94,1.71,V,73,0,8,0,0,3,0,N,0,0,0
81.88,1.62,M,36,0,11,1,6,6,0,N,0,0,0
