SCORE,DAMAGE,COOLDOWN,DISPERSION,RANGE
23,114.665,-0.408,-40.308,0.0
25,93.64,-0.17,-37.393,0.0
29,91.121,-0.716,-24.147,0.0
32,96.734,-0.97,-46.418,0.0
33,115.597,-0.021,-38.371,0.0
21,99.031,-0.444,-22.032,0.0
31,111.41,-0.712,-48.2,0.0
25,119.303,-0.284,-23.641,0.0
29,119.729,-0.556,-29.733,0.0
29,110.007,-0.914,-25.713,0.0
23,116.796,-0.553,-18.887,0.0
18,89.757,-0.444,-12.115,0.0
23,99.461,-0.083,-34.209,0.0
24,98.165,-0.163,-16.007,0.0
24,102.137,-0.136,-23.257,0.0
22,95.11,-0.237,-26.999,0.0
21,101.166,-0.548,-27.872,0.0
30,119.277,-0.844,-17.605,0.0
28,94.486,-0.683,-10.116,0.0
23,97.434,-0.453,-41.905,0.0
24,91.824,-0.122,-24.309,0.0
34,89.168,-0.843,-41.86,0.0
24,118.737,-0.293,-36.273,0.0
34,84.72,-0.487,-45.72,0.0
25,111.687,-0.26,-22.769,0.0
29,80.161,-0.431,-34.132,0.0
39,92.86,-0.886,-28.565,0.0
25,92.055,-0.001,-22.129,0.0
23,119.752,-0.481,-26.406,0.0
23,83.407,-0.428,-33.909,0.0
29,101.524,-0.56,-41.574,0.0
38,107.658,-0.916,-47.488,0.0
27,96.305,-0.028,-29.273,0.0
39,100.373,-0.812,-35.191,0.0
29,83.679,-0.616,-20.867,0.0
22,99.952,-0.375,-49.101,0.0
33,112.931,-0.938,-31.621,0.0
24,108.523,-0.165,-24.633,0.0
24,84.297,-0.176,-17.695,0.0
24,83.215,-0.137,-15.804,0.0
25,102.115,-0.065,-23.749,0.0
25,113.043,-0.221,-42.493,0.0
24,102.367,-0.104,-30.19,0.0
24,107.259,-0.386,-43.043,0.0
24,84.416,-0.393,-26.029,0.0
24,104.56,-0.344,-24.82,0.0
24,118.267,-0.383,-25.81,0.0
23,105.792,-0.433,-29.411,0.0
31,82.314,-0.673,-22.96,0.0
24,119.771,-0.636,-40.662,0.0
24,100.313,-0.195,-18.257,0.0
25,90.393,-0.247,-15.256,0.0
24,108.184,-0.011,-13.751,0.0
25,87.489,-0.612,-11.142,0.0
28,84.304,-0.538,-17.67,0.0
43,95.613,-0.843,-38.941,0.0
25,96.431,-0.322,-14.062,0.0
27,108.748,-0.777,-10.201,0.0
28,88.09,-0.94,-31.19,0.0
29,96.327,-0.595,-27.853,0.0
28,100.766,-0.815,-12.081,0.0
29,98.871,-0.801,-22.863,0.0
39,101.545,-0.975,-28.69,0.0
38,83.391,-0.748,-35.389,0.0
32,109.154,-0.006,-31.895,0.0
42,101.503,-0.809,-41.151,0.0
22,80.002,-0.087,-43.675,0.0
25,108.641,-0.278,-41.404,0.0
28,88.633,-0.993,-32.74,0.0
24,107.722,-0.301,-26.168,0.0
29,105.454,-0.789,-24.785,0.0
25,116.617,-0.294,-15.511,0.0
25,117.183,-0.301,-18.984,0.0
36,81.224,-0.745,-46.897,0.0
23,99.883,-0.53,-42.899,0.0
24,92.025,-0.204,-28.39,0.0
27,111.222,-0.624,-14.253,0.0
43,92.643,-0.765,-39.205,0.0
24,88.184,-0.551,-23.684,0.0
32,100.825,-0.06,-47.383,0.0
34,80.761,-0.961,-29.576,0.0
24,82.416,-0.248,-18.981,0.0
24,84.152,-0.3,-34.519,0.0
24,81.737,-0.091,-19.657,0.0
23,107.446,-0.47,-19.135,0.0
25,96.45,-0.375,-15.296,0.0
29,115.219,-0.796,-25.397,0.0
22,93.344,-0.36,-44.127,0.0
34,87.516,-0.787,-41.663,0.0
27,106.374,-0.655,-20.444,0.0
24,112.935,-0.277,-36.614,0.0
21,96.416,-0.3,-28.259,0.0
25,109.66,-0.056,-20.766,0.0
21,100.745,-0.312,-30.687,0.0
29,97.434,-0.612,-27.134,0.0
24,103.275,-0.416,-16.931,0.0
31,90.061,-0.633,-32.083,0.0
23,90.815,-0.281,-30.463,0.0
29,94.881,-0.529,-21.45,0.0
31,103.054,-0.675,-46.262,0.0
37,80.206,-0.581,-36.389,0.0
25,96.583,-0.34,-15.381,0.0
27,110.543,-0.65,-23.079,0.0
37,103.176,-0.735,-43.118,0.0
25,103.115,-0.294,-17.903,0.0
28,118.904,-0.8,-19.113,0.0
22,90.336,-0.459,-29.984,0.0
24,113.979,-0.476,-20.28,0.0
29,109.473,-0.687,-35.864,0.0
24,94.062,-0.225,-31.752,0.0
29,112.081,-0.813,-24.191,0.0
